Gene WormBase ID	of CLASH identified piRNA target sites
WBGene00000001	9
WBGene00000002	0
WBGene00000003	0
WBGene00000004	5
WBGene00000005	0
WBGene00000006	1
WBGene00000007	0
WBGene00000008	0
WBGene00000009	0
WBGene00000010	6
WBGene00000012	0
WBGene00000013	0
WBGene00000014	0
WBGene00000015	0
WBGene00000016	0
WBGene00000017	0
WBGene00000018	4
WBGene00000019	7
WBGene00000020	10
WBGene00000022	2
WBGene00000023	4
WBGene00000024	0
WBGene00000025	0
WBGene00000027	0
WBGene00000028	0
WBGene00000029	0
WBGene00000030	0
WBGene00000031	0
WBGene00000032	0
WBGene00000033	0
WBGene00000034	0
WBGene00000035	1
WBGene00000036	0
WBGene00000037	23
WBGene00000038	1
WBGene00000039	1
WBGene00000040	4
WBGene00000041	40
WBGene00000042	0
WBGene00000043	0
WBGene00000044	0
WBGene00000045	0
WBGene00000046	0
WBGene00000047	0
WBGene00000048	2
WBGene00000049	0
WBGene00000050	0
WBGene00000051	1
WBGene00000053	0
WBGene00000054	0
WBGene00000055	0
WBGene00000056	4
WBGene00000057	0
WBGene00000058	0
WBGene00000059	1
WBGene00000060	0
WBGene00000061	0
WBGene00000062	0
WBGene00000063	101
WBGene00000064	81
WBGene00000065	102
WBGene00000066	55
WBGene00000067	5
WBGene00000068	0
WBGene00000069	0
WBGene00000070	0
WBGene00000071	2
WBGene00000072	0
WBGene00000073	4
WBGene00000074	4
WBGene00000075	4
WBGene00000079	17
WBGene00000080	9
WBGene00000081	5
WBGene00000082	0
WBGene00000083	0
WBGene00000084	1
WBGene00000085	0
WBGene00000086	0
WBGene00000088	0
WBGene00000089	2
WBGene00000090	10
WBGene00000092	1
WBGene00000093	3
WBGene00000094	3
WBGene00000095	5
WBGene00000096	0
WBGene00000097	6
WBGene00000098	36
WBGene00000099	12
WBGene00000100	9
WBGene00000101	30
WBGene00000102	23
WBGene00000103	4
WBGene00000105	4
WBGene00000106	4
WBGene00000107	15
WBGene00000108	0
WBGene00000109	13
WBGene00000110	14
WBGene00000111	1
WBGene00000112	22
WBGene00000113	6
WBGene00000114	11
WBGene00000115	11
WBGene00000116	1
WBGene00000117	6
WBGene00000118	0
WBGene00000120	1
WBGene00000121	29
WBGene00000122	7
WBGene00000123	29
WBGene00000133	0
WBGene00000134	0
WBGene00000135	0
WBGene00000136	0
WBGene00000137	5
WBGene00000138	1
WBGene00000139	0
WBGene00000140	106
WBGene00000142	15
WBGene00000143	7
WBGene00000144	4
WBGene00000145	2
WBGene00000146	13
WBGene00000147	2
WBGene00000148	12
WBGene00000149	2
WBGene00000150	1
WBGene00000151	8
WBGene00000155	18
WBGene00000156	20
WBGene00000157	0
WBGene00000158	10
WBGene00000159	18
WBGene00000160	13
WBGene00000161	3
WBGene00000162	6
WBGene00000163	10
WBGene00000164	3
WBGene00000165	5
WBGene00000166	0
WBGene00000168	1
WBGene00000169	0
WBGene00000170	0
WBGene00000171	0
WBGene00000172	0
WBGene00000173	0
WBGene00000174	0
WBGene00000175	0
WBGene00000176	0
WBGene00000177	2
WBGene00000178	6
WBGene00000179	0
WBGene00000180	0
WBGene00000181	5
WBGene00000182	17
WBGene00000183	12
WBGene00000184	13
WBGene00000185	0
WBGene00000186	17
WBGene00000187	10
WBGene00000188	0
WBGene00000189	2
WBGene00000190	0
WBGene00000192	14
WBGene00000193	0
WBGene00000195	1
WBGene00000196	15
WBGene00000197	27
WBGene00000198	13
WBGene00000199	3
WBGene00000200	18
WBGene00000201	9
WBGene00000202	6
